title,Ethnicity,Gender,Religious_Affiliation,Political_Party,docid
Wilt Chamberlain,,male,,Republican Party,255645
Johan Rudolph Thorbecke,,male,Lutheranism,liberalism,23690058
Shirley Temple,,female,,Republican Party,804602
Forest Whitaker,,male,,Democratic Party,634431
Garrison Keillor,,male,,Minnesota Democratic–Farmer–Labor Party,12743
Ramakrishna,,male,Hinduism,,422504
Charles IV of Spain,,male,Catholic Church,,149439
Fred Hoyle,,male,atheism,,11001
Franjo Tuđman,,male,,Croatian Democratic Union,168300
Martin Sheen,,male,Catholicism,Democratic Party,68131
Anne Rice,,female,secular humanism,,18951262
Richard Hakluyt,,male,Anglicanism,,263424
John Kenneth Galbraith,,male,,Democratic Party,84271
"Gilbert du Motier, Marquis de Lafayette",,male,,Feuillant,156068
Dante Gabriel Rossetti,English people,male,Anglicanism,,149882
Hristo Stoichkov,,male,Eastern Orthodoxy,,28714631
Honoré Daumier,French,male,,,337688
Jerome Isaac Friedman,,male,atheism,,728900
Preity Zinta,,female,Hinduism,,415405
Pedro Eugenio Aramburu,,male,,Union of the Argentine People,339679
Zellig Harris,,male,Judaism,,300099
Gloria Stuart,,female,,Democratic Party,528417
Zeng Guofan,,male,Confucianism,,457455
Manuel I of Portugal,,male,Catholic Church,,144835
Zooey Deschanel,,female,Judaism,,936829
Raymond Poincaré,,male,Catholic Church,Democratic Republican Alliance,303726
Peter Higgs,,male,atheism,,339050
Benedetto Croce,,male,agnosticism,Italian Liberal Party,740634
Manuel Noriega,,male,,Democratic Revolutionary Party,71421
Rafic Hariri,,male,Islam,Future Movement,394985
Neve Campbell,,female,Catholicism,,83049
Kenneth G. Wilson,,male,Quakers,,396743
Cato the Younger,,male,,optimates,312698
Gabby Giffords,,female,Judaism,Democratic Party,5600374
Richard Branson,,male,Catholicism,,93759
Patricia Scotland,,female,,Labour Party,419302
Ahmed III,,male,Islam,,1529
Murad V,,male,Islam,,178186
Thomas Cranmer,,male,Anglicanism,,30502
Karl Malone,,male,,Republican Party,459304
Kassym-Jomart Tokayev,,male,,Nur Otan,970627
A. Raja,,male,,Dravida Munnetra Kazhagam,7107607
Hayley Williams,,female,Christianity,,9726633
Queen Letizia of Spain,,female,Catholic Church,,520837
Shelley Winters,,female,,Democratic Party,187094
Dean Smith,,male,,Democratic Party,456292
Pedro de Valdivia,,male,Catholicism,,68517
Shkëlzen Gashi,,male,Islam,,16156343
Zine El Abidine Ben Ali,,male,Islam,Socialist Destourian Party,390745
Bebeto,,male,,Democratic Labour Party,1129210
Hippolytus of Rome,,male,Catholic Church,,73313
Georges Bataille,,male,atheism,,209215
Chandrika Kumaratunga,,female,Buddhism,Sri Lanka Freedom Party,307535
Amir Khusrau,,male,Islam,,517348
Andrei Zhdanov,,male,,Communist Party of the Soviet Union,524393
Tansu Çiller,,female,,Democratic Party,753267
Fats Domino,African Americans,male,,,147321
Jean-Bertrand Aristide,,male,Catholic Church,Fanmi Lavalas,66795
Yuan Shikai,Han Chinese people,male,,Republican Party,59259
Luigi,Italians,male,,,81345
Ray Liotta,,male,,Republican Party,503164
Peter I of Serbia,,male,Serbian Orthodox Church,,854039
Glenn Ford,,male,,Republican Party,644344
P. W. Botha,,male,Nederduitse Gereformeerde Kerk,National Party,383252
Igor Sikorsky,Russians,male,Russian Orthodox Church,,199513
Natasha Richardson,,female,Catholicism,,594667
Stephen Colbert,,male,Catholic Church,Democratic Party,335195
Albert Luthuli,,male,,African National Congress,311414
James Connolly,,male,,Irish Socialist Republican Party,168309
John Wesley,,male,Methodism,,42411
Raul Hilberg,,male,atheism,,945226
"Ernest II, Duke of Saxe-Coburg and Gotha",,male,Lutheranism,,1041657
Deborah,Israelites,female,Yahwism,,397997
Jan Smuts,,male,,South African Party,204687
Ayaan Hirsi Ali,,female,atheism,People's Party for Freedom and Democracy,870045
Hagar,,female,religion of ancient Egypt,,307388
Jordin Sparks,,female,Evangelicalism,,3536351
Frederick Douglass,African Americans,male,United Methodist Church,Republican Party,11033
"Georg I, Duke of Saxe-Meiningen",,male,Lutheranism,,6251596
Zoe Lofgren,,female,Lutheranism,Democratic Party,408829
Zviad Gamsakhurdia,,male,Georgian Orthodox Church,independent politician,313336
George Emil Palade,Romanians,male,Eastern Orthodox Church,,289950
George Canning,,male,Anglicanism,Tories,197229
Kingsley Amis,,male,atheism,,17202
"Louis Antoine, Duke of Enghien",,male,Catholic Church,,526721
Sarah McLachlan,,female,paganism,,149077
Johann Bernoulli,,male,Calvinism,,268886
Isabella of France,,female,Catholic Church,,47621
Ashley Judd,,female,,Democratic Party,43113
Pope John XV,,male,Catholic Church,,363836
Christine Baranski,,female,Catholicism,,654559
Jeanne d'Albret,,female,Calvinism,,25382632
Trish Stratus,Greek Canadians,female,,,9209618
Kyra Sedgwick,,female,Judaism,,1547579
K.d. lang,,female,Tibetan Buddhism,,340867
Maria Christina of the Two Sicilies,,female,Catholic Church,,392872
Anita Ekberg,,female,Lutheranism,,904640
Catherine of Lancaster,,female,Catholicism,,1784280
Elizabeth of Bosnia,,female,Catholicism,,5693937
Irina Slutskaya,,female,Eastern Orthodox Church,,559880
Joan the Lame,,female,Christianity,,8434671
Madhuri Dixit,,female,Hinduism,,19852
Atal Bihari Vajpayee,,male,Hinduism,Bharatiya Janata Party,101730
Tila Tequila,,female,,Republican Party,737688
Frances de la Tour,,female,,Workers Revolutionary Party,1500727
Carlota Joaquina of Spain,,female,Catholic Church,,603034
Louisa Ulrika of Prussia,,female,Lutheranism,,603157
Princess Victoria of the United Kingdom,,female,Anglicanism,,330647
Elizabeth Blackwell,Americans,female,,,2024825
Infanta Marie Anne of Portugal,,female,Catholic Church,,5614139
Jill Stein,,female,agnosticism,Green Party of the United States,1747821
