title,Ethnicity,Gender,Religious_Affiliation,Political_Party,docid
Roger Marshall (politician),,male,,Republican Party,51233385
Stephen Miller (political advisor),,male,Judaism,Republican Party,51260917
Karen Goh,,female,,Republican Party,52579338
Amy Coney Barrett,French Americans,female,Catholicism,,53992581
Layla Moran,,female,,Liberal Democrats,27053677
Mark Esper,,male,,Republican Party,54603873
Andrea Salinas,,female,,Democratic Party,55238569
Leonid Pasechnik,,male,,Peace for Lugansk Region,55880369
Mikie Sherrill,,female,,Democratic Party,57095296
Jim Baird (politician),,male,,Republican Party,56236364
Veronica Escobar,,female,,Democratic Party,56772325
Lana Lokteff,,female,Old Norse religion,,57353383
Mary Gay Scanlon,,female,,Democratic Party,58910473
Ibrahim Mohamed Solih,,male,Islam,Maldivian Democratic Party,57913666
Nikema Williams,,female,,Democratic Party,58395381
Xochitl Torres Small,,female,Lutheranism,Democratic Party,57809437
Juan Guaidó,,male,,Popular Will,59587978
Yadira Caraveo,,female,,Democratic Party,59154138
John Joyce (American politician),,male,,Republican Party,58863672
Wayne Messam,,male,,Democratic Party,59904763
Morgan Ortagus,,female,,Republican Party,60409042
Ashwini Vaishnaw,,male,,Bharatiya Janata Party,61165139
Matt Walsh (political commentator),,male,Catholicism,,1793303
Jake Ellzey,,male,,Republican Party,57053182
Ludwig van Beethoven,Germans,male,Catholicism,,17914
Louis IX of France,,male,Catholic Church,,18549
Adolf Hitler,Germans,male,lapsed Catholic,Nazi Party,2731583
Bob Dylan,American Jews,male,Judaism,,4637590
Victor Hugo,French,male,,Parti de l'Ordre,42146
Jorge Alessandri,,male,Roman Catholic,hola q hace partido,976878
Carlos Ibáñez del Campo,,male,Catholicism,,735123
Michael Bloomberg,Jewish people,male,Judaism,Democratic Party,38828
Genghis Khan,Mongols,male,,,17414699
Jean Racine,French,male,,,52201
Leonardo da Vinci,,male,atheism,,18079
Mahatma Gandhi,Gujarati people,male,Hinduism,Indian National Congress,19379
Antonio Vivaldi,,male,Roman Catholic,,1425
Vespasian,,male,ancient Roman religion,,32570
Robert Louis Stevenson,Scottish people,male,,,26444
Cicero,Romans,male,ancient Roman religion,optimates,6046
Karim Benzema,,male,Islam,,4629012
François Mitterrand,,male,agnosticism,Democratic and Socialist Union of the Resistance,37998
Seneca the Younger,Romans,male,,,75150
Tacitus,Romans,male,,,19594563
Buzz Aldrin,,male,,Republican Party,65777
Bruce Willis,,male,atheism,California Republican Party,64673
Lech Kaczyński,Poles,male,Catholic Church,Law and Justice,637432
Grace Kelly,,female,Catholicism,Democratic Party,42620
Duke Ellington,African Americans,male,,,41536
Daniel Craig,,male,agnosticism,,15252813
Moncef Marzouki,,male,Sunni Islam,Congress for the Republic,30505888
Salvador Dalí,Spaniards,male,,,40112
Pablo Picasso,Spaniards,male,atheism,French Communist Party,24176
Rembrandt,Dutch,male,,,4254144
Eminem,German Americans,male,Christianity,,4429395
Che Guevara,,male,,Communist Party of Cuba,13623554
Stanisław Lem,Poles,male,atheism,,26790
Carl Friedrich Gauss,Germans,male,,,6125
Julien Offray de La Mettrie,,male,atheism,,829899
Emperor Gaozu of Han,Han Chinese people,male,Taoism,,338378
Emperor Wen of Han,Han Chinese people,male,Taoism,,338540
Alan Turing,,male,atheism,,1208
George Frideric Handel,,male,Lutheranism,,12775
Christopher Columbus,,male,Catholic Church,,5635
Emperor Huizong of Song,,male,Taoism,,613559
Vladimir Putin,Russians,male,Russian Orthodox Church,Communist Party of the Soviet Union,32817
Sergei Eisenstein,,male,atheism,,28380
Alexander the Great,Ancient Macedonians,male,Ancient Greek religion,,783
Otto von Bismarck,,male,Lutheranism,,22416
Timur,,male,Sunni Islam,,25439083
Sun Yat-sen,,male,Congregational churches,Kuomintang,88483
Simón Bolívar,,male,Regular Masonic jurisdictions,,55917
Andrew Johnson,,male,Christianity,Democratic Party,1624
Walt Disney,,male,Congregational churches,Republican Party,32917
Thomas Edison,Americans,male,deism,,29778
Mo Yan,,male,,Chinese Communist Party,1052811
Nikola Tesla,Serbs,male,Serbian Orthodox Church,,21473
Tabaré Vázquez,,male,,Socialist Party of Uruguay,375769
Sigmund Freud,,male,atheism,,26743
Georg Wilhelm Friedrich Hegel,Germans,male,,,12598
Ludwig Wittgenstein,,male,agnosticism,,17741
Lewis Hamilton,,male,Catholicism,,675561
Rahul Gandhi,,male,Hinduism,Indian National Congress,305010
Pythagoras,Greeks,male,,,23275
David Beckham,,male,Christianity,,8618
Deval Patrick,African Americans,male,Presbyterianism,Democratic Party,2086606
John Roberts,Irish people,male,Catholicism,Republican Party,1928850
Nelson Rockefeller,,male,Baptists,Republican Party,19283265
Avempace,,male,Islam,,536739
Raúl (footballer),,male,Catholicism,,347480
Judy Garland,,female,Episcopal Church,Democratic Party,58719
George Pataki,,male,Catholicism,Republican Party,204334
Katherine Johnson,African Americans,female,,,25568315
John Quincy Adams,,male,Unitarianism,Whig Party,15654
Mario,Italians,male,,,81361
Shigeru Miyamoto,Japanese people,male,,,79982
Rashad Khalifa,,male,Islam,,375137
George Soros,Ashkenazi Jews,male,atheism,Democratic Party,6951166
João Guimarães Rosa,Brazilians,male,,,896494
Lee Myung-bak,,male,Presbyterianism,Liberty Korea Party,3844691
Roh Moo-hyun,,male,Catholic Church,Democratic Party,24050318
Liza Minnelli,,female,Episcopal Church,,59216
Fred Armisen,,male,atheism,,1778172
Dietrich von Hildebrand,,male,Catholic Church,,1735107
Alexander I of Russia,,male,Eastern Orthodoxy,,27126603
Oleksandr Turchynov,,male,Charismatic Movement,Hromada,17977305
Brian May,,male,agnosticism,,42069
Chiang Kai-shek,Chinese people,male,Christianity,Kuomintang,6859
Jacky Cheung,Cantonese people,male,,,454173
Pope Paul VI,,male,Catholic Church,,24028
George Bernard Shaw,Irish people,male,Christianity,Labour Party,12855
Psy,Koreans,male,,,36524320
Edward VII,,male,Protestantism,,46721
Lindsey Graham,,male,Southern Baptist Convention Church,Republican Party,363279
Maria Cantwell,,female,Catholic Church,Democratic Party,333605
Benito Mussolini,,male,,Republican Fascist Party,19283178
George Clooney,Irish Americans,male,agnosticism,Democratic Party,158889
Bob Brown,,male,Presbyterianism,Australian Greens,347734
Woody Allen,American Jews,male,Judaism,,32901
Antoni Gaudí,,male,Roman Catholic,,31566384
Pierre Bonnard,French,male,,,362530
"James, brother of Jesus",Hebrews,male,Christianity,,308174
Arrian,Greeks,male,,,101411
Vitali Klitschko,,male,,Ukrainian Democratic Alliance for Reform,555483
Drake (musician),African Americans,male,Judaism,,21466444
Marlon Brando,,male,atheism,Democratic Party,19903
Henry Fielding,English people,male,,,13546
Boris Yeltsin,,male,Russian Orthodox Church,Communist Party of the Soviet Union,23278520
Gustav Klimt,Austrians,male,,,12425
Nikita Khrushchev,Russians,male,atheism,Communist Party of the Soviet Union,42558
Baruch Spinoza,Sephardi Jews,male,,,3408
Aung San Suu Kyi,,female,Buddhism,National League for Democracy,2847
Madhubala,Pashtuns,female,Islam,,528704
Robert De Niro,,male,Catholicism,Democratic Party,20913302
José Saramago,Portuguese,male,atheism,,48422
John VI Kantakouzenos,,male,Eastern Orthodoxy,,74226
David Hume,,male,atheism,,7925
Samuel Beckett,Irish people,male,,,27640
Lewis Carroll,English people,male,Anglicanism,,26586083
Asha Bhosle,,female,Hinduism,,251081
Ndamukong Suh,African Americans,male,,,21401038
Bertolt Brecht,,male,atheism,Independent Social Democratic Party of Germany,24956001
Mario Vargas Llosa,,male,agnosticism,Liberty Movement,163278
Will Smith,African Americans,male,Christianity,,154698
Dave Chappelle,African Americans,male,Islam,,339365
Heath Ledger,Irish Australian,male,,,17173785
Al Pacino,Italian Americans,male,Latin Church,,41906
Franz Liszt,,male,Catholicism,,67379
Constans II,,male,monothelitism,,252452
Basil II,,male,Eastern Orthodoxy,,46426
Q-Tip (musician),,male,Islam,,538550
Pope Pius XI,,male,Catholic Church,,147858
Anatole France,French,male,,,1057
Rita Hayworth,,female,Roman Catholic,,277952
Pope Gregory I,,male,Catholic Church,,36768
Demi Moore,,female,,Democratic Party,187807
Ellen Johnson Sirleaf,,female,Methodism,Unity Party,2642141
Benjamin Netanyahu,Jewish people,male,Judaism,Consolidation,56472
Grigori Rasputin,,male,Russian Orthodox Church,,12804
Theodor Herzl,Jews in Hungary,male,Judaism,,8233758
John the Apostle,Jewish people,male,Christianity,,38938
Patriarch Kirill of Moscow,,male,Christianity,,9365809
Darius the Great,Persians,male,Zoroastrianism,,47118
Ludwig III of Bavaria,,male,Catholic Church,Bavarian Patriotic Party,357913
Heinrich Heine,Germans,male,,,104641
Orlando Bloom,,male,Buddhism,,9195868
Howlin' Wolf,African Americans,male,,,166247
"Charles Theodore, Elector of Bavaria",Germans,male,,,650526
Carl XVI Gustaf,Swedes,male,Church of Sweden,,104743
John Lewis,African Americans,male,Baptists,Democratic Party,411737
Viswanathan Anand,Tamil Brahmin,male,Hinduism,,281337
Mikhail Lermontov,Russians,male,Eastern Orthodoxy,,185576
Raúl Castro,,male,Catholic Church,Communist Party of Cuba,221749
Condoleezza Rice,African Americans,female,Protestantism,Republican Party,158177
Ferdinand I of Aragon,,male,Catholicism,,1159512
Naoto Kan,,male,,Democratic Party of Japan,365175
Whoopi Goldberg,African Americans,female,,Democratic Party,54985
Wolf Blitzer,,male,Judaism,,18754517
John Ford,Irish Americans,male,,,280738
King Vidor,,male,Christian Science,California Republican Party,67959
Luis Buñuel,,male,atheism,,169033
Billy Wilder,Jewish people,male,,,45185
Aaron,Israelites,male,Yahwism,,1006
Jesse Owens,African Americans,male,,Republican Party,46827
Gustav I of Sweden,,male,Lutheranism,,49109
Jean-Luc Godard,French,male,,,60368
François Truffaut,French,male,Catholicism,,10770
Giuseppe Tornatore,,male,atheism,,430416
Augustus II the Strong,,male,Lutheranism,,247724
Henry III of France,,male,Catholicism,,75985
N.O.R.E.,African Americans,male,,,1436353
Rupert Murdoch,Australians,male,Catholicism,Republican Party,26091
Hayao Miyazaki,Japanese people,male,,,20312
Kenji Mizoguchi,Japanese people,male,,,660937
Michelangelo Antonioni,Italians,male,atheism,,38939
Oprah Winfrey,African Americans,female,,Democratic Party,20395872
Marek Belka,,male,,Democratic Left Alliance,630580
Ridley Scott,,male,atheism,,25493
Georges Bizet,,male,atheism,,67955
Hans-Ulrich Rudel,,male,,Deutsche Reichspartei,492066
Hermann Müller (politician),,male,irreligion,Social Democratic Party of Germany,320007
Sepp Dietrich,,male,,Nazi Party,351727
Abdelaziz Bouteflika,,male,Islam,National Liberation Front,385658
Mahinda Rajapaksa,Sinhalese,male,Buddhism,United People's Freedom Alliance,581583
Isaias Afwerki,,male,Monophysitism,People's Front for Democracy and Justice,392367
Hamad bin Khalifa Al Thani,,male,Islam,,295929
Alfred Döblin,,male,Catholic Church,,896457
Daniel Ortega,,male,,Partido Dictatorial del FSLN,8778
Alassane Ouattara,,male,Islam,Democratic Party of Côte d'Ivoire – African Democratic Rally,1173624
Abdullah II of Jordan,,male,Islam,,164053
Theodor Morell,,male,,Nazi Party,1217100
Otto Ernst Remer,,male,,Deutsche Rechtspartei,880725
Gurbanguly Berdimuhamedow,,male,Sunni Islam,Democratic Party of Turkmenistan,8544556
John of Saxony,,male,Catholic Church,,547940
Hashim Thaçi,Albanians,male,Sunni Islam,Democratic Party of Kosovo,3626980
Caroline Augusta of Bavaria,,female,Catholic Church,,9876793
Nouri al-Maliki,,male,Islam,mostqel,4723094
Hamad bin Jassim bin Jaber Al Thani,,male,Islam,,16318130
Hun Sen,,male,Theravāda,Cambodian People's Party,393779
Enda Kenny,,male,Catholicism,Fine Gael,261047
Julius Schreck,,male,,Nazi Party,1298429
S. M. Krishna,,male,Hinduism,Indian National Congress,1219374
Louis XII,,male,Catholic Church,,77655
Kilij Arslan II,,male,Islam,,294277
Rinat Akhmetov,Tatars,male,,Party of Regions,1353601
Vladimir II Monomakh,,male,Eastern Orthodoxy,,428291
Olaf Scholz,,male,,Social Democratic Party of Germany,14230694
Götz von Berlichingen,Germans,male,,,1880116
"Louis IX, Duke of Bavaria",Germans,male,,,3484514
Walter Rauff,,male,,Nazi Party,1670712
Erich Naumann,,male,,Nazi Party,1803017
Burchard of Worms,,male,Catholic Church,,2916588
Ernst von Salomon,,male,,Deutsche Friedens-Union,510402
Reinhard Genzel,Germans,male,,,14417038
Ibn Khallikan,,male,Islam,,1316107
Louise of Orléans,,female,Catholic Church,,5309509
Roddy Doyle,Irish people,male,atheism,,530527
Clara Zetkin,,female,,Communist Party of Germany,1424386
Mileva Marić,Serbs,female,Judaism,,301515
Ernst Jünger,,male,Catholicism,,155910
Ernst Thälmann,,male,atheism,Social Democratic Party of Germany,265561
Klaus Mann,Germans,male,,,255963
Friedrich Jeckeln,,male,,Nazi Party,2778865
Werner Forssmann,,male,,Nazi Party,370242
Constantin Fehrenbach,,male,Catholic Church,Centre Party,320014
"William I, Duke of Bavaria",Germans,male,,,3323393
Anna Netrebko,Kuban Cossacks,female,,,2293506
Archduke Karl Ludwig of Austria,,male,Catholicism,,5614697
Carl Djerassi,,male,atheism,,574479
Joshua Chamberlain,,male,Congregational churches,Republican Party,326492
DJ Khaled,Arabs,male,Islam,,48375799
Brian Kobilka,,male,Catholicism,,19806752
John Travolta,,male,Catholic Church,,54174
Sándor Petőfi,Hungarians,male,Lutheranism,Opposition Party,552327
Benjamin Disraeli,,male,Anglicanism,Conservative Party,3875
Edward VI,,male,Protestantism,,10245
Peter L. Berger,,male,Lutheranism,,390003
Louis de Montfort,,male,Catholic Church,,30864870
William Harvey,English people,male,Anglicanism,,50203
Marc Chagall,Jewish people,male,,,63135
Percy Bysshe Shelley,English people,male,,,20502020
Archduke Rudolf of Austria,,male,Catholic Church,,10091065
Barbara Stanwyck,,female,,Republican Party,43331
Shirley MacLaine,,female,Baptists,Democratic Party,147368
Tim Robbins,,male,,Democratic Party,269416
Jane Wyman,,female,Catholic Church,Republican Party,183753
Yasuo Fukuda,,male,,Liberal Democratic Party,3067600
Thabo Mbeki,Xhosa people,male,,African National Congress,31350
Mary Wollstonecraft,,female,deism,,19834
Christian Worch,,male,,Free German Workers' Party,3508671
Macaulay Culkin,Irish Americans,male,,,212860
Peter O'Toole,Irish people,male,Roman Catholic,,63321
Kirk Douglas,Jewish people,male,Conservative Judaism,Democratic Party,69861
Mary Pickford,,female,Catholicism,Republican Party,18823
Gallienus,,male,ancient Roman religion,,12677
Alexander Andrae,,male,,Deutsche Reichspartei,22865706
Ilie Năstase,,male,,Social Democracy Party of Romania,301406
Daniel Webster,,male,Unitarianism,Whig Party,51613
Emmanuelle Béart,Jewish people,female,Christianity,,169157
Dave Brubeck,,male,Catholicism,,8176
Robert Habeck,,male,,Alliance '90/The Greens,52008577
James Black (pharmacologist),White British,male,,,337415
John S. Mosby,,male,,Republican Party,386503
David Geffen,Jewish people,male,,,320917
Madhava of Sangamagrama,,male,Hinduism,,2793007
Alex Borstein,White Americans,female,Judaism,,864375
Emil Brunner,,male,Calvinism,,2266055
Demosthenes,Greeks,male,,,46605
Ignazio Cassis,,male,,Free Democratic Party of Switzerland,55296183
Aristides de Sousa Mendes,,male,Latin Church,,515304
Edmond O'Brien,Irish people,male,,,779370
Guy Parmelin,,male,,Swiss People's Party,48772769
Guido Calabresi,,male,,Democratic Party,1033769
Niels Henrik Abel,,male,Lutheranism,,21573
Felix Manz,,male,anabaptism,,441295
William James,,male,Lutheranism,,90682
Charlotte Brontë,English people,female,Anglicanism,,6532
Tony Gatlif,Kabyle people,male,,,2256420
Andre Dawson,African Americans,male,,,892948
M. G. Ramachandran,Malayali,male,Hinduism,All India Anna Dravida Munnetra Kazhagam,471623
Brian Mulroney,Irish Canadians,male,Catholicism,Progressive Conservative Party of Canada,63403
Michaëlle Jean,,female,Catholicism,,594891
Luis Miguel Sánchez Cerro,,male,,Revolutionary Union,2057372
René Girard,,male,Catholicism,,1345074
Xenophon,Greeks,male,,,34155
William III of England,Dutch,male,Protestantism,,47387
Hieronymus Bosch,Dutch,male,,,45732
Philip IV of France,,male,Christianity,,77169
Paul Krugman,Jewish people,male,,,313701
John Williams,White Americans,male,,,154554
George Eliot,English people,female,atheism,,13049
Alexander Alekhine,,male,Eastern Orthodox Church,,72495
"Mary, Queen of Scots",Scottish people,female,Catholicism,,20603
Harry Houdini,Jewish people,male,Judaism,,53395
"Arthur Wellesley, 1st Duke of Wellington",,male,,Tories,8474
Sergei Rachmaninoff,Russian Americans,male,Eastern Orthodoxy,,99340
Naomi Watts,English people,female,,,335017
Pope Gregory VII,,male,Catholic Church,,37015
Pope Nicholas V,,male,Catholic Church,,44993
Dejan Savićević,,male,atheism,,3307429
Michael Keaton,Irish people,male,,,235323
Andy Rooney,Irish Americans,male,atheism,,253662
Flying Lotus,African Americans,male,,,10470533
M. A. G. Osmani,,male,Islam,,2055375
John Donne,,male,Anglicanism,,15838
Johannes Ockeghem,,male,Catholic Church,,273557
Zakariya al-Qazwini,,male,Islam,,2042347
Juan Ponce Enrile,Ilocano,male,,Pwersa ng Masang Pilipino,3322486
Rajneesh,,male,syncretism,,186224
Lew Rockwell,,male,Catholicism,Republican Party,261695
Henry Moore,English people,male,,,5517329
Rod Blagojevich,Serbs,male,Serbian Orthodox Church,Democratic Party,418925
Alexandra of Denmark,,female,Lutheranism,,48918
Ismail Haniyeh,,male,Islam,Hamas,41207463
Maria Theresa of Spain,,female,Catholic Church,,399839
Frederick VIII of Denmark,,male,Lutheranism,,150916
Caroline Bonaparte,,female,Catholic Church,,2343833
Iannis Xenakis,,male,atheism,,158366
"Rudolf, Crown Prince of Austria",,male,Catholicism,,211681
Władysław Sikorski,,male,Catholic Church,independent politician,353480
Jenna Bush Hager,,female,,Republican Party,19476826
Jan Czekanowski,,male,,National League,1130484
Umberto I of Italy,,male,Catholicism,,23908722
"Princess Margaret, Countess of Snowdon",,female,Church of England,,38567
Isabeau of Bavaria,,female,Christianity,,954222
Philippe of Belgium,,male,Catholic Church,,168868
Thornton Wilder,,male,Congregational churches,,51684
Hans Luther,,male,Lutheranism,German People's Party,431038
Vladislaus II of Hungary,,male,Christianity,,21756351
"Charlotte, Grand Duchess of Luxembourg",,female,Catholic Church,,442798
Eleanor of Austria,,female,Catholic Church,,960407
Christian X of Denmark,,male,Lutheranism,,72708
Mário Soares,,male,atheism,Socialist Party,357440
"Margaret of Austria, Queen of Spain",,female,Catholic Church,,2247325
Robert Aumann,,male,Orthodox Judaism,,2875272
Stepan Bandera,Ukrainians,male,Ukrainian Greek Catholic Church,Organization of Ukrainian Nationalists,806188
Vasily Chuikov,,male,,Communist Party of the Soviet Union,580776
Frederick III of Denmark,,male,Lutheranism,,150914
Princess Beatrice of the United Kingdom,,female,Church of England,,313602
"Alfred, Duke of Saxe-Coburg and Gotha",,male,Church of England,,167608
"William IV, Grand Duke of Luxembourg",,male,Calvinism,,442764
Margaret Theresa of Spain,,female,Catholic Church,,2851491
Deepika Padukone,,female,Vaishnavism,,3538069
Jean Monnet,,male,,independent politician,336275
David Hockney,British people,male,,,238341
Joe Lieberman,American Jews,male,,Democratic Party,74456
David Ricardo,,male,Judaism,Whigs,8470
Henry VI of England,,male,Catholicism,,46858
Rabanus Maurus,,male,Catholic Church,,683585
Michele Bachmann,,female,Lutheranism,Republican Party,2064489
Raymond Aron,French,male,,Rally of the French People,316129
Vajiravudh,,male,Buddhism,,487989
Robert Clive,British people,male,,,170105
E-40,African Americans,male,,,1115106
Eva Longoria,,female,Catholicism,Democratic Party,886579
Adam Michnik,Poles,male,,Citizens' Movement for Democratic Action,270469
Tavis Smiley,African Americans,male,,,875830
Larry O'Brien,,male,,Democratic Party,762752
Vytautas Landsbergis,,male,Lutheranism,Sąjūdis,559058
John McLaughlin (musician),,male,Hinduism,,328281
Jacqueline Kennedy Onassis,,female,Catholic Church,Democratic Party,64372
Dorothy Lamour,,female,,California Republican Party,225860
Wallace Stevens,,male,,Republican Party,103216
Elizabeth of Luxembourg,,female,Catholic Church,,1934139
Charles Sumner Hamlin,,male,,Democratic Party,1798198
Dado Polumenta,,male,Islam,,4458303
Robert Desnos,French,male,,Frontist Party,463849
Pope Innocent II,,male,Catholic Church,,24428
Diego Rivera,,male,atheist,,103362
Percy Williams Bridgman,,male,atheism,,396507
Michael Crichton,,male,deism,,20762
Jessica Lange,White Americans,female,,Democratic Party,67763
Cherie Blair,,female,Catholicism,Labour Party,271186
Pedro Álvares Cabral,Portuguese,male,Catholic Church,,246843
Mahmud II,,male,Islam,,208639
Jeff Bridges,,male,Buddhism,,56439
Max Roach,African Americans,male,,,155963
James Mirrlees,,male,Christianity,,833888
Antonios Kriezis,Greeks,male,,French Party,1989170
Caleb Cushing,,male,,National Republican Party,683850
Lorenzo de' Medici,,male,Catholic Church,,18633
Eleanor of Aquitaine,,female,Christianity,,9962
Alexander Hamilton,,male,Presbyterian Church (U.S.A.),Federalist Party,40597
Alfred de Musset,French,male,,,167150
Al-Kindi,,male,Islam,,272065
John Cage,,male,Zen,,65954
Natsume Sōseki,Japanese people,male,,,187688
Abu Musab al-Zarqawi,,male,Sunni Islam,Al-Qaeda,8484783
Bingu wa Mutharika,,male,Catholicism,United Democratic Front,681214
Maurice (emperor),,male,Eastern Orthodoxy,,64683
Richard Dreyfuss,American Jews,male,,,159625
Leon Battista Alberti,Italians,male,Catholic Church,,18031
Arnold Lunn,,male,Catholic Church,,2095739
Helena Paparizou,,female,Eastern Orthodoxy,,1470115
Randolph Churchill,,male,,Conservative Party,486610
Fahd of Saudi Arabia,,male,Islam,,301839
İsmet İnönü,Turks,male,Sunni Islam,Republican People's Party,14618
Æthelred the Unready,,male,Chalcedonian Christianity,,10083
Christina Ricci,Scotch-Irish Americans,female,Christianity,,217790
Michelle Rodriguez,Dominican Americans,female,,Democratic Party,306460
Kelly Rowland,African Americans,female,Methodism,,261035
Patrick Blackett,,male,,Labour Party,326834
Sergey Bubka,,male,,Party of Regions,603934
Gloria Estefan,,female,Buddhist,,169245
Mithridates VI Eupator,Persians,male,,,19179497
Louisa May Alcott,Americans,female,,,18002
Akbar Hashemi Rafsanjani,,male,Shia Islam,Executives of Construction Party,399536
Stieg Larsson,Swedes,male,atheism,,11240679
Dashiell Hammett,,male,Catholic Church,Communist Party USA,144853
Julius Nyerere,,male,Catholicism,Tanganyika African National Union,358637
David Carradine,,male,,Democratic Party,551643
Pablo Escobar,,male,Catholic Church,,161570
Tracy Chapman,African Americans,female,,,169833
Robin Gibb,Manx people,male,,Labour Party,149690
Matthias Corvinus,Hungarians,male,,,272105
Bernardino Rivadavia,,male,,Unitarian Party,456264
Amanda Seyfried,,female,,Democratic Party,1020882
Leonid Kravchuk,,male,Ukrainian Orthodox Church – Kyiv Patriarchate,Communist Party of the Soviet Union,1098020
Joseph Barbera,Sicilian Americans,male,,,1123637
Philip W. Anderson,,male,atheism,,396694
Viktor Chernomyrdin,,male,Russian Orthodox Church,Our Home – Russia,482420
Liv Ullmann,Norwegians,female,Christianity,,18738
Harvey Keitel,American Jews,male,,,79156
Sheikh Mujibur Rahman,,male,Sunni Islam,BAKSAL,246089
Abdullah Öcalan,Kurds,male,,Kurdistan Workers' Party,98439
Marisa Tomei,Italian Americans,female,,,219358
Mikhail Frunze,Russians,male,,Communist Party of the Soviet Union,30876771
Gene Wilder,American Jews,male,Judaism,,430144
Rob Schneider,,male,,Republican Party,218238
Jennifer Hudson,African Americans,female,Baptists,,518700
Bettino Craxi,,male,Catholic Church,Italian Socialist Party,312989
Vissarion Belinsky,Russians,male,,,483097
Ralph Nader,,male,,Green Party of the United States,25671
Pocahontas,Indigenous peoples of the Americas,female,Anglicanism,,237523
Alan Greenspan,,male,atheism,Republican Party,161947
Quincy Jones,African Americans,male,,,205508
Jack Palance,,male,,California Republican Party,598470
Padre Pio,,male,Catholicism,,320349
Ahmad ibn Hanbal,Arabs,male,Islam,,419084
Dan Marino,,male,Catholicism,,11983460
Alexander Berkman,Jewish people,male,atheism,,420350
Constance Markievicz,,female,,Sinn Féin,394524
Russell Westbrook,African Americans,male,,,16555375
Rajendra Prasad,,male,Hinduism,Indian National Congress,702083
Ziaur Rahman,,male,Sunni Islam,Bangladesh Nationalist Party,308460
Giuliano Amato,,male,,Italian Socialist Party,434935
Jason Segel,,male,Judaism,,2146365
Abd el-Krim,,male,Islam,,319028
Vanessa Williams,African Americans,female,Catholicism,,19373486
Vuk Karadžić,Serbs,male,Serbian Orthodox Church,,229247
Seimone Augustus,African Americans,female,,,3962496
Boris Karloff,,male,Anglicanism,,67260
Leonard Susskind,,male,agnosticism,,644448
David L. Lawrence,,male,,Democratic Party,1544788
Edward Hopper,White Americans,male,,,65319
Manuel Azaña,,male,,Republican Left,273235
Gustave Moreau,French,male,,,67575
Sancho II of Portugal,,male,Christianity,,252891
M.I.A. (rapper),,female,Hinduism,,21487008
Gerty Cori,Jewish people,female,Judaism,,252442
William Jennings Bryan,,male,Christianity,Democratic Party,40608
Derrick Rose,African Americans,male,,,20865738
Douglas Osheroff,,male,Lutheranism,,431890
Călin Popescu-Tăriceanu,,male,Catholic Church,National Liberal Party,1278193
Mary Elizabeth Winstead,English Americans,female,,,2324849
Tom Hardy,English people,male,Chechły,,1792975
Telly Savalas,,male,,Democratic Party,265032
Siad Barre,Somalis,male,Islam,Somali Revolutionary Socialist Party,242376
Neil Gaiman,Jewish people,male,atheism,,22055
Caiaphas,Hebrews,male,,,389504
Rajendra Chola I,Tamil,male,Hinduism,,2126242
Emmeline Pankhurst,,female,,Women's Party,60557
Peter Singer,,male,atheism,,23721
Philip Noel-Baker,,male,,Labour Party,318178
Levy Mwanawasa,,male,Protestantism,Movement for Multi-Party Democracy,286095
Arthur Sullivan,,male,Anglicanism,,45280
Samuel Adams,,male,Congregational churches,Democratic-Republican Party,15124855
Ralph Bunche,African Americans,male,,,316772
Édouard Daladier,,male,,Radical Party,400253
Flo Rida,African Americans,male,,Democratic Party,13994263
Hugo Riemann,Germans,male,,,530299
Rudolf Rocker,,male,,Social Democratic Party of Germany,42034632
Anatole Litvak,Ukrainians,male,,,1566134
Robert FitzRoy,,male,,Conservative Party,271121
"Leonor, Princess of Asturias",Spaniards,female,Catholic Church,,3041968
Calvin Klein,,male,,Democratic Party,430391
Harry Belafonte,,male,,Democratic Party,154183
Ed Miliband,Jewish people,male,atheism,Labour Party,1290018
Ronald Fisher,,male,Church of England,,140824
Muqtada al-Sadr,Arab,male,Shia Islam,Sadrist Movement,351058
Harsha,,male,Hinduism,,1198073
Constantine P. Cavafy,Greeks in Egypt,male,,,729945
Andreas Papandreou,Greeks,male,Greek Orthodox Church,Centre Union,357210
Adam Levine,,male,Christianity,,1084346
Paul Nurse,,male,atheism,,1718776
Samora Machel,,male,atheism,FRELIMO,317574
Toše Proeski,Aromanians,male,,,2990519
Ken Livingstone,,male,,Labour Party,18247224
Girija Prasad Koirala,,male,Hinduism,Nepali Congress,787910
Kūkai,Japanese people,male,Shingon Buddhism,,291747
Novatian,,male,Christianity,,761902
Francis Lewis,,male,congregationalist polity,,261170
Aimé Césaire,,male,,French Communist Party,318336
Saoirse Ronan,Irish people,female,,,11061022
Isla Fisher,,female,Judaism,,745856
Lena Headey,,female,Anglicanism,,2108274
Jane Lynch,,female,atheism,,2546319
Mo'Nique,African Americans,female,,,1401564
Maureen O'Hara,,female,Catholicism,Republican Party,235309
Quentin Bryce,,female,Catholic Church,,698446
Bo Derek,,female,,Republican Party,446518
Rita Ora,Albanians in Kosovo,female,,,27125578
Maria Luisa of Parma,,female,Catholicism,,5207177
Irene Dunne,,female,,Republican Party,177745
Cloris Leachman,White Americans,female,atheism,,521820
Rue McClanahan,,female,,Democratic Party,350801
Shirley Jones,,female,,Republican Party,170516
Christina Milian,Cubans,female,Christianity,,657902
Mayim Bialik,,female,Modern Orthodox Judaism,,718320
